@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1-8,10,12-14,16-22'

@attribute x-mean1000 numeric
@attribute z-mean1000 numeric
@attribute abs-var1000 numeric
@attribute class {WALKING,STANDING,SITTING}

@data
-2.860273,9.704498,8.7367,SITTING
-2.714341,9.631531,8.253686,SITTING
-2.604892,9.615114,7.724063,SITTING
-2.519764,9.636396,7.212956,SITTING
-2.451663,9.622776,6.741588,SITTING
-2.395943,9.583772,6.314613,SITTING
-2.323972,9.551269,6.005348,SITTING
-2.286647,9.523766,5.617295,SITTING
-2.254654,9.522082,5.274876,SITTING
-2.226927,9.520623,4.995426,SITTING
-2.202666,9.5385,4.742446,SITTING
-2.181259,9.518219,4.512669,SITTING
-2.16223,9.500192,4.286536,SITTING
-2.145205,9.484063,4.096881,SITTING
-2.048429,9.580839,2.365182,SITTING
-1.919394,9.726003,0.259446,SITTING
-1.854876,9.403416,0.067457,SITTING
-1.85407,9.362286,0.09304,SITTING
-1.838747,9.300995,0.103071,SITTING
-1.823424,9.239703,0.119543,SITTING
-1.823424,9.147766,0.21025,SITTING
-1.823424,9.086474,0.258166,SITTING
-1.85407,8.994537,0.48708,SITTING
-1.89712,8.931056,0.906315,SITTING
-1.978046,8.873347,1.645349,SITTING
-2.061625,8.789767,2.307173,SITTING
-2.131275,8.720118,3.040722,SITTING
-2.171853,8.674089,3.441454,SITTING
-2.211826,8.607467,3.824965,SITTING
-2.278447,8.527522,3.979754,SITTING
-2.311203,8.465897,4.237097,SITTING
-2.375048,8.376514,4.585893,SITTING
-2.438894,8.261592,4.831565,SITTING
-2.476179,8.21307,4.905541,SITTING
-2.549729,8.102745,4.897211,SITTING
-2.647796,7.99242,4.964875,SITTING
-2.72276,7.956116,5.140832,SITTING
-2.856187,7.820804,4.756159,SITTING
-3.03793,7.608149,3.918622,SITTING
-3.217807,7.480357,3.122189,SITTING
-3.357106,7.410707,2.506705,SITTING
-3.482475,7.354988,1.865431,SITTING
-3.633714,7.282022,0.750201,SITTING
-3.662901,7.267428,0.434491,SITTING
-3.692087,7.252835,0.29018,SITTING
-3.693623,7.145306,0.29079,SITTING
-3.709753,7.064659,0.272656,SITTING
-3.742011,6.935624,0.254826,SITTING
-3.758141,6.80659,0.207825,SITTING
-3.806529,6.693684,0.224179,SITTING
-3.784754,6.650135,0.21301,SITTING
-3.800077,6.604166,0.215007,SITTING
-3.830723,6.558197,0.224326,SITTING
-3.784754,6.496906,0.252976,SITTING
-3.692817,6.46626,0.326222,SITTING
-3.539588,6.450937,0.455293,SITTING
-3.371036,6.343677,0.51288,SITTING
-3.279099,6.221094,0.527448,SITTING
-3.29807,6.14375,0.640527,SITTING
-3.287457,6.115227,0.619826,SITTING
-3.304415,6.022562,0.671717,SITTING
-3.251118,5.849347,0.708239,SITTING
-3.184497,5.649483,0.73609,SITTING
-3.192269,5.52901,0.70542,SITTING
-3.115655,5.38855,0.707143,SITTING
-3.064578,5.286397,0.704265,SITTING
-3.03904,5.222552,0.664785,SITTING
-3.013502,5.184245,0.66701,SITTING
-2.962426,5.158707,0.783568,SITTING
-2.929737,5.185266,0.7539,SITTING
-2.892962,5.111716,0.776575,SITTING
-2.843929,5.074941,0.791746,SITTING
-2.794895,5.062683,0.791218,SITTING
-2.75812,5.038167,0.790952,SITTING
-2.709087,5.001392,0.779217,SITTING
-2.684571,4.9401,0.790459,SITTING
-2.647796,4.86655,0.792679,SITTING
-2.586504,4.805259,0.789546,SITTING
